age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,prediction
0.3311311,0.07385766,0.829761,0.051504828,0.029758003,0.42771947,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.4719126,0.067982,0.81991684,0.019923244,0.019924829,0.14237498,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.37302735,0.22334956,0.62119,0.08752233,0.08801294,0.4851556,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.5408353,0.20003642,0.4495239,0.049282905,0.049654543,0.4470169,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.17055763,0.24052691,0.8198916,0.019886333,0.019899406,0.41786602,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
0.5843678,0.25050744,0.4152803,0.14813057,0.1477984,0.30102682,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
0.50672865,0.16307099,0.5630213,0.029609974,0.029684998,0.47833863,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.2839726,0.19143312,0.61,0.01,0.01,0.8161224,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.1980085,0.10724287,0.81987023,0.01988694,0.019849682,0.41785696,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
0.1611858,0.15333441,0.87903845,0.07900435,0.0789104,0.3748617,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.27446973,0.19862145,0.8022454,0.06890397,0.06898069,0.56865394,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.3448115,0.10380017,0.69641215,0.02974902,0.029742135,0.42770255,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.32173392,0.24616505,0.28894293,0.08884496,0.0890637,0.5376825,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
0.21749872,0.21563806,0.6410261,0.10787921,0.108633436,0.45386565,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.2845078,0.19608846,0.61225396,0.07895537,0.07889921,0.47677898,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.33573028,0.061143294,0.44940957,0.04921452,0.049521636,0.548352,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.404783,0.23799518,0.91570383,0.048987355,0.04903309,0.49797252,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.61361384,0.30495247,0.64125353,0.10792421,0.10764823,0.30155158,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3229659,0.123940095,0.34511182,0.07850815,0.079133555,0.47598055,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.3760827,0.090781495,0.4199211,0.019922726,0.4886981,0.4178792,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.65405166,0.14417942,0.6121607,0.07878868,0.07872033,0.4766052,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.5540916,0.15823115,0.81990415,0.019901048,0.019930752,0.41770333,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.13582207,0.21200469,0.6416115,0.108263366,0.10845641,0.50576454,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.52677435,0.13352878,0.6199292,0.019931264,0.01992762,0.62196875,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
