age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,race_African-American,race_Other,sex_Female,sex_Male,prediction
0.29339737,0.9095667,0.46247324,-0.047848433,1.0,0.0,1.0,0.0,0.0,1.0,1
0.23596102,-0.06946496,0.32479823,0.09977,1.0,0.0,1.0,0.0,0.0,1.0,1
0.17451859,0.9407747,0.3354951,-0.056758232,1.0,0.0,1.0,0.0,0.0,1.0,1
0.14914107,0.94066185,0.30905616,-0.04958451,1.0,0.0,1.0,0.0,0.0,1.0,1
0.33035594,0.860028,0.5959723,-0.13933417,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2556552,0.9215646,0.25293964,0.5015984,1.0,0.0,0.0,1.0,0.0,1.0,1
0.2513303,0.9398591,0.43986145,-0.058657218,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2035322,0.95063615,0.028996289,0.6141619,1.0,0.0,0.0,1.0,1.0,0.0,1
0.39180714,1.0200053,0.58524996,-0.018738965,0.0,1.0,1.0,0.0,0.0,1.0,1
0.14226027,0.96011406,0.19702986,0.06018898,1.0,0.0,1.0,0.0,0.0,1.0,1
0.35584742,0.85944235,0.46340862,-0.13862501,1.0,0.0,1.0,0.0,1.0,0.0,1
0.21223052,0.90937245,0.19149023,0.18091257,1.0,0.0,1.0,0.0,0.0,1.0,1
0.16384616,1.01,0.2794737,-0.0075,0.0,1.0,1.0,0.0,0.0,1.0,1
0.27825665,0.847566,0.5054132,-0.12099159,1.0,0.0,1.0,0.0,0.0,1.0,1
0.16384616,0.99,0.2794737,-0.0075,1.0,0.0,1.0,0.0,0.0,1.0,1
0.08692308,0.99,0.2268421,-0.0037499988,1.0,0.0,0.0,1.0,0.0,1.0,1
0.055532515,0.972554,-0.02995545,0.23252767,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4984699,0.9503767,0.8976209,-0.008493161,1.0,0.0,0.0,1.0,0.0,1.0,1
0.18948719,0.99,0.30578947,-0.0075,1.0,0.0,1.0,0.0,0.0,1.0,1
0.09805641,0.9421084,0.045517035,0.21486983,1.0,0.0,1.0,0.0,0.0,1.0,1
0.12965247,0.96002203,0.14413236,0.12012254,1.0,0.0,1.0,0.0,0.0,1.0,1
0.12041845,0.93760735,0.036110703,0.25640702,1.0,0.0,1.0,0.0,0.0,1.0,1
0.33210766,0.90986013,0.5150948,-0.068123184,1.0,0.0,1.0,0.0,0.0,1.0,1
0.43442112,0.95056754,0.55547494,0.4013946,1.0,0.0,0.0,1.0,0.0,1.0,1
0.15517406,0.96025467,0.2760168,0.00010982994,1.0,0.0,1.0,0.0,0.0,1.0,1
0.24076924,0.99,0.35842106,-0.00875,1.0,0.0,1.0,0.0,0.0,1.0,1
0.13535072,0.9800554,0.21687622,0.04628451,1.0,0.0,1.0,0.0,0.0,1.0,1
0.15542844,1.0398707,0.3021101,-0.037506185,0.0,1.0,1.0,0.0,0.0,1.0,1
0.1225265,0.9800598,0.24319577,-0.018711906,1.0,0.0,1.0,0.0,0.0,1.0,1
0.50136024,0.9618174,0.6969823,-0.032514565,1.0,0.0,1.0,0.0,0.0,1.0,1
0.08692308,0.99,0.14789473,0.023750003,1.0,0.0,1.0,0.0,1.0,0.0,1
0.6353981,0.98022574,0.8485909,-0.0025072852,1.0,0.0,1.0,0.0,0.0,1.0,1
0.18948719,-0.009999999,0.5163158,-0.00875,1.0,0.0,0.0,1.0,0.0,1.0,1
0.1875469,0.9403149,0.36142918,-0.05721991,1.0,0.0,1.0,0.0,0.0,1.0,1
0.10083302,0.94993144,0.23988026,-0.048404902,1.0,0.0,1.0,0.0,0.0,1.0,1
0.19516662,0.91982454,0.39372164,-0.07772615,1.0,0.0,1.0,0.0,0.0,1.0,1
0.15512845,0.9603263,0.30236223,-0.035992227,1.0,0.0,1.0,0.0,0.0,1.0,1
0.29539728,0.8692581,0.47387218,-0.062391527,1.0,0.0,1.0,0.0,0.0,1.0,1
0.12083485,-0.06874822,0.009177313,0.33552223,1.0,0.0,1.0,0.0,0.0,1.0,1
0.23506027,0.9701181,0.36475778,-0.025026374,1.0,0.0,0.0,1.0,1.0,0.0,1
0.12252393,1.0197003,0.24319832,-0.012459679,0.0,1.0,1.0,0.0,0.0,1.0,1
0.12538461,0.99,0.2531579,-0.00875,1.0,0.0,1.0,0.0,0.0,1.0,1
0.45013565,0.96024483,0.43380874,0.2713593,1.0,0.0,1.0,0.0,0.0,1.0,1
0.22332141,0.93008006,0.50942445,-0.064871274,1.0,0.0,0.0,1.0,0.0,1.0,1
0.43147364,0.94088113,0.44021478,-0.021049472,1.0,0.0,1.0,0.0,1.0,0.0,1
0.27798757,0.8996372,0.47811392,-0.09904967,1.0,0.0,1.0,0.0,0.0,1.0,1
0.21308391,0.94027525,0.38750958,-0.053393465,1.0,0.0,1.0,0.0,0.0,1.0,1
0.16796023,0.9603122,0.32866675,-0.038503554,1.0,0.0,1.0,0.0,0.0,1.0,1
0.18096209,-0.039310623,0.3810449,-0.017528266,1.0,0.0,1.0,0.0,0.0,1.0,1
0.43428835,0.95081234,0.608183,-0.041062456,1.0,0.0,1.0,0.0,0.0,1.0,1
0.32137594,1.1590055,0.4993138,-0.013727065,0.0,1.0,1.0,0.0,0.0,1.0,1
0.10401698,0.9600674,0.11781228,0.13010813,1.0,0.0,1.0,0.0,0.0,1.0,1
0.1125641,0.99,0.2268421,0.005,1.0,0.0,1.0,0.0,0.0,1.0,1
0.24840324,0.9296204,0.4297563,-0.05128682,1.0,0.0,1.0,0.0,0.0,1.0,1
0.13820514,1.01,0.2531579,-0.0075,0.0,1.0,1.0,0.0,0.0,1.0,1
0.20937343,0.9701567,0.33853495,-0.02613565,1.0,0.0,1.0,0.0,0.0,1.0,1
0.061282054,0.99,0.14789473,-0.0062499987,1.0,0.0,1.0,0.0,0.0,1.0,1
0.12538461,0.99,0.2531579,-0.007499999,1.0,0.0,1.0,0.0,0.0,1.0,1
0.15102565,0.99,0.2531579,0.02,1.0,0.0,1.0,0.0,0.0,1.0,1
0.24799196,1.029759,0.41744158,-0.02617738,0.0,1.0,1.0,0.0,0.0,1.0,1
0.13534828,1.0194634,0.2695044,-0.016232057,0.0,1.0,1.0,0.0,0.0,1.0,1
0.2507387,0.9800482,0.4010832,-0.018719247,1.0,0.0,1.0,0.0,0.0,1.0,1
0.48027775,0.93367267,0.7194483,-0.06497511,0.0,1.0,0.0,1.0,1.0,0.0,1
0.31689778,0.85294414,0.029497027,0.79636616,1.0,0.0,1.0,0.0,0.0,1.0,1
0.27363363,-0.02994747,0.4436406,-0.027544707,0.0,1.0,1.0,0.0,0.0,1.0,1
0.232072,0.96029913,0.38128853,-0.038513407,1.0,0.0,1.0,0.0,0.0,1.0,1
0.11963061,0.9701563,0.25958717,-0.021136042,1.0,0.0,1.0,0.0,0.0,1.0,1
0.22509748,-0.01990699,0.3484394,-0.014983452,1.0,0.0,1.0,0.0,1.0,0.0,1
0.035641026,0.99,0.04263158,0.23124999,1.0,0.0,0.0,1.0,0.0,1.0,1
0.16101873,0.9799934,0.2694755,0.02373923,1.0,0.0,0.0,1.0,1.0,0.0,1
0.22825813,0.95009035,0.055821884,0.46938342,1.0,0.0,1.0,0.0,0.0,1.0,1
0.04560583,0.9799908,0.19054353,-0.017495181,1.0,0.0,0.0,1.0,0.0,1.0,1
0.19024548,0.95037395,0.055720318,0.3954693,1.0,0.0,1.0,0.0,0.0,1.0,1
0.23793939,0.98033774,0.08527517,0.42249528,1.0,0.0,1.0,0.0,0.0,1.0,1
0.055532515,0.972554,-0.02995545,0.23252767,1.0,0.0,1.0,0.0,0.0,1.0,1
0.058426447,0.9800714,0.032666944,0.15628573,1.0,0.0,1.0,0.0,0.0,1.0,1
0.15901276,0.93056,0.32529566,-0.06571931,1.0,0.0,1.0,0.0,0.0,1.0,1
0.28000736,0.92346424,0.054964475,0.62593883,1.0,0.0,1.0,0.0,0.0,1.0,1
0.26404357,0.9398062,0.4400002,-0.053476907,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2863156,0.9700938,0.33850121,-0.023694903,1.0,0.0,1.0,0.0,1.0,0.0,1
0.33350113,0.80798346,0.33999276,0.21235834,1.0,0.0,1.0,0.0,0.0,1.0,1
0.10970667,0.9800605,0.19056349,0.01753759,1.0,0.0,1.0,0.0,0.0,1.0,1
0.100926995,0.95366186,0.029105417,0.21873106,1.0,0.0,1.0,0.0,0.0,1.0,1
0.13708816,1.0584103,0.25554973,-0.013834519,0.0,1.0,1.0,0.0,0.0,1.0,1
0.19343242,0.9602624,0.35503054,-0.037223898,1.0,0.0,1.0,0.0,0.0,1.0,1
0.17857538,0.91001356,0.27835733,0.014567389,1.0,0.0,1.0,0.0,0.0,1.0,1
0.15102565,-0.009999999,0.2794737,-0.00875,1.0,0.0,1.0,0.0,1.0,0.0,1
0.15214066,0.95051277,0.31884554,-0.0495745,1.0,0.0,1.0,0.0,0.0,1.0,1
0.21865669,0.96018195,0.3551284,-0.029664047,1.0,0.0,1.0,0.0,0.0,1.0,1
0.16384616,0.99,0.2268421,0.05375,1.0,0.0,1.0,0.0,0.0,1.0,1
0.08692308,0.99,0.20052631,-0.008749999,1.0,0.0,1.0,0.0,0.0,1.0,1
0.14232382,0.9603064,0.30234635,-0.039758194,1.0,0.0,1.0,0.0,0.0,1.0,1
0.25306064,0.89930606,0.45166352,-0.09796071,1.0,0.0,1.0,0.0,0.0,1.0,1
0.11069574,0.94007725,0.2826501,-0.058253683,1.0,0.0,1.0,0.0,0.0,1.0,1
0.30595323,0.9102177,0.5151562,-0.08759025,1.0,0.0,1.0,0.0,0.0,1.0,1
0.13820514,-0.01,0.2794737,0.023750002,1.0,0.0,1.0,0.0,0.0,1.0,1
