age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,prediction
1.7799535,1.5295327,-0.63773763,0.62341523,-1.4741918,-1.0880104,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
-3.4950898,4.135488,4.927205,-0.7452487,4.11219,4.2469473,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1.4994636,1.5666507,1.3099298,-0.28924552,1.322564,1.6307449,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1.6626775,1.2463827,1.2387598,-0.31424788,1.0372359,1.4802057,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
4.759427,4.831688,5.4654927,-2.2058108,4.644002,5.0260634,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1.3803276,1.166666,0.6078852,-0.030830901,1.0882924,0.75123304,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
0.7204984,0.3553696,0.6969621,0.03153045,0.19164965,0.6560207,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
4.871507,4.796695,5.2886844,-2.170314,4.6542416,5.437716,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.3251921,1.21466,1.8652235,-0.46259463,1.1038319,1.5225148,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
1.4154092,1.8582635,1.6850071,-0.445343,1.6911695,1.7597963,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
1.1099939,1.2507167,1.5182589,0.0021892507,-1.3516487,1.5230623,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.4856128,1.1920125,1.6652619,-0.39497784,1.0712162,1.5022026,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.4072434,1.2641339,0.7314491,-0.2048132,0.99937403,1.4419119,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
0.5874344,0.89123183,0.77857745,0.027838644,0.6896187,0.8648994,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.6134478,0.9055143,0.7902381,-0.013571934,0.703064,0.9685993,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1.1216177,0.77425843,0.897761,-0.14635912,0.69007856,1.2295272,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2.1456347,1.9498506,2.2932768,-0.6451133,1.7015592,2.1560125,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
1.572675,1.3054658,0.83431184,-0.10731423,1.0373421,0.9016023,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1
0.77570987,0.4780457,0.46239933,0.041641567,0.3955877,0.7932998,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.5148517,1.1967673,1.4309717,-0.41221285,1.552236,1.5223075,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
3.2627661,2.7163732,2.3566453,-0.88583225,2.5847187,2.919501,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.77465814,0.36417806,0.97740746,0.008861915,0.199843,0.6091121,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.8404074,1.5443815,1.1293162,-0.19755138,1.3719013,1.4643106,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
-3.9811225,4.721799,5.257158,-0.78520983,4.639944,5.248698,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
1.0667325,1.0341963,1.1274734,-0.17228317,0.720689,1.5593784,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1.9125564,1.5668966,1.7968662,-0.5102278,1.387327,1.8277289,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.6848428,0.9011005,1.1330962,-0.06399187,0.6905701,1.1897991,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.9141205,1.9378966,1.5378277,-0.36452624,1.7356755,1.8566108,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
2.1730745,-1.5432307,2.4743502,-0.59062606,2.0659513,2.1621435,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1.053801,0.8258984,1.1188806,-0.16512877,0.67171234,1.1535383,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.92184544,-0.71855974,1.0700346,-0.055373583,0.7211185,0.8237727,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.2483531,0.92530143,0.6654391,-0.04479021,0.6923331,1.0510607,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
0.7237023,1.556823,1.3091657,-0.25074533,1.3891894,1.5670902,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2.5273747,3.0307941,2.9257312,-1.1078163,2.6320956,2.865887,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
1.3735161,1.1514966,1.4690092,-0.342977,1.028575,1.4688071,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.92777157,0.66010153,1.194863,-0.13731532,0.46974117,0.87627965,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2.016971,2.091467,1.5686294,-0.58142257,1.6443408,2.1177487,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
4.7010765,-4.464727,5.4626846,-0.5110638,4.6421566,-4.0557203,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2.2517657,-1.7862626,1.5461988,-0.36667305,1.6737431,1.992387,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
1.0064763,1.6306723,1.1463944,-0.21036701,1.3644836,1.4348315,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
-3.9942799,-4.492402,5.1758866,-0.35897434,4.6441054,5.01959,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2.1228092,1.8458545,2.3231483,-0.66116273,1.7235321,2.0891047,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
4.9511943,4.6746354,5.314393,-1.0283815,4.6638355,-4.177628,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.86408424,-1.0354576,1.3379577,-0.15020902,1.0496516,1.398212,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
