age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,race_African-American,race_Other,sex_Female,sex_Male,prediction
0.3665,0.5183998,0.366686,-0.17006999,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3065809,-0.4922188,0.22980294,-0.02340658,1.0,0.0,1.0,0.0,0.0,1.0,1
0.27498502,-0.122993834,0.25589165,-0.124438636,1.0,0.0,1.0,0.0,0.0,1.0,1
0.25098923,-0.12346469,0.2247056,-0.11706733,1.0,0.0,1.0,0.0,0.0,1.0,1
0.42766708,0.51896197,0.47737205,-0.22636767,1.0,0.0,1.0,0.0,0.0,1.0,1
0.42000195,1.0798712,0.07631381,0.69447684,1.0,0.0,0.0,1.0,0.0,1.0,1
0.34663406,0.20292413,0.34609246,-0.15935825,1.0,0.0,1.0,0.0,0.0,1.0,1
0.32437617,0.99993396,-0.12974015,0.66349334,1.0,0.0,0.0,1.0,1.0,0.0,1
0.47968286,0.9226544,0.4803513,-0.13350025,0.0,1.0,1.0,0.0,0.0,1.0,1
0.24303962,-0.12280905,0.109214246,-0.016055617,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5307373,-0.42070866,0.48112944,-0.2147773,1.0,0.0,1.0,0.0,1.0,0.0,1
0.28225532,0.51591235,0.08917194,0.02689793,1.0,0.0,1.0,0.0,0.0,1.0,1
0.29627603,-0.13591498,0.19883867,-0.06054632,0.0,1.0,1.0,0.0,0.0,1.0,1
0.37840807,0.5202162,0.37723923,-0.17017372,1.0,0.0,1.0,0.0,0.0,1.0,1
0.26805666,0.21351512,0.19537133,-0.078904085,1.0,0.0,1.0,0.0,0.0,1.0,1
0.12274915,-0.41604057,0.18792887,-0.07446585,1.0,0.0,0.0,1.0,0.0,1.0,1
0.14552566,-0.12134108,-0.10551886,0.10489897,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6348726,1.0000101,0.7954335,-0.10249801,1.0,0.0,0.0,1.0,0.0,1.0,1
0.2957862,0.21282232,0.2204065,-0.080091015,1.0,0.0,1.0,0.0,0.0,1.0,1
0.17358631,0.2012377,-0.05909361,0.08133389,1.0,0.0,1.0,0.0,0.0,1.0,1
0.21718687,0.2060393,0.046673063,0.020819245,1.0,0.0,1.0,0.0,0.0,1.0,1
0.19054921,0.5148344,-0.06656438,0.10613374,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4090934,0.51767147,0.419997,-0.18639326,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5968177,1.0000224,0.4194261,0.45143074,1.0,0.0,0.0,1.0,0.0,1.0,1
0.26196745,-0.12093786,0.18757306,-0.07286235,1.0,0.0,1.0,0.0,0.0,1.0,1
0.33260414,0.52554435,0.26217338,-0.097250886,1.0,0.0,1.0,0.0,0.0,1.0,1
0.24718536,-0.12089061,0.12643415,-0.028604042,1.0,0.0,1.0,0.0,0.0,1.0,1
0.28594723,-0.4569365,0.21086784,-0.0836849,0.0,1.0,1.0,0.0,0.0,1.0,1
0.22898632,-0.11767331,0.15928741,-0.074512854,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5847627,0.9997047,0.5890036,-0.1874995,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7084364,-0.7465501,1.0810798,-0.6875197,1.0,0.0,1.0,0.0,1.0,0.0,1
0.7424548,1.0000845,0.7466456,-0.14205104,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2775156,-0.46399698,0.4279435,-0.10418245,1.0,0.0,0.0,1.0,0.0,1.0,1
0.27830335,0.20371446,0.27263668,-0.14498565,1.0,0.0,1.0,0.0,0.0,1.0,1
0.19809802,-0.12180808,0.15709275,-0.09939551,1.0,0.0,1.0,0.0,0.0,1.0,1
0.28638843,0.20305654,0.3016888,-0.16620821,1.0,0.0,1.0,0.0,0.0,1.0,1
0.26395467,1.8716625,0.17963204,-0.18309544,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3784508,0.5185363,0.36218488,-0.15549825,1.0,0.0,1.0,0.0,0.0,1.0,1
0.20383154,0.53395945,-0.10346194,0.16339463,1.0,0.0,1.0,0.0,0.0,1.0,1
0.35312948,-0.42021513,0.39020997,-0.10187092,1.0,0.0,0.0,1.0,1.0,0.0,1
0.22190644,1.8383688,0.14081739,-0.10108127,0.0,1.0,1.0,0.0,0.0,1.0,1
0.24132705,-0.116441965,0.16468674,-0.06889595,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5773048,1.0001094,0.29982853,0.17721939,1.0,0.0,1.0,0.0,0.0,1.0,1
0.29408306,0.22546728,0.42024216,-0.16917689,1.0,0.0,0.0,1.0,0.0,1.0,1
0.5709103,-0.10578599,0.4170291,-0.114362076,1.0,0.0,1.0,0.0,1.0,0.0,1
0.35834733,0.20263906,0.39250422,-0.19436893,1.0,0.0,1.0,0.0,0.0,1.0,1
0.30462155,0.20352726,0.2968536,-0.14658232,1.0,0.0,1.0,0.0,0.0,1.0,1
0.278076,-0.120538816,0.2419536,-0.109562896,1.0,0.0,1.0,0.0,0.0,1.0,1
0.26175362,-0.48776546,0.2841683,-0.10963678,1.0,0.0,1.0,0.0,0.0,1.0,1
0.512985,0.9228219,0.5079821,-0.18646254,1.0,0.0,1.0,0.0,0.0,1.0,1
0.40289572,1.5191374,0.36953944,-0.13136755,0.0,1.0,1.0,0.0,0.0,1.0,1
0.20455071,-0.121839695,0.015638188,0.038567785,1.0,0.0,1.0,0.0,0.0,1.0,1
0.22557063,-0.11806267,0.13779393,-0.05739923,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3391048,0.20267075,0.33550483,-0.15521905,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2948039,-0.45825997,0.16584659,-0.03573375,0.0,1.0,1.0,0.0,0.0,1.0,1
0.30982837,0.20983617,0.25416878,-0.10095833,1.0,0.0,1.0,0.0,0.0,1.0,1
0.17360575,-0.11771752,0.06803751,-0.037981197,1.0,0.0,1.0,0.0,0.0,1.0,1
0.24153297,-0.11697536,0.16426611,-0.06831921,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2544838,0.2116036,0.16439357,-0.059682008,1.0,0.0,1.0,0.0,0.0,1.0,1
