age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,race_African-American,race_Other,sex_Female,sex_Male,prediction
0.4533319,-1.0624819,0.362034,-0.06726038,1.0,0.0,1.0,0.0,0.0,1.0,1
0.37657297,-2.054042,0.24845484,0.06569259,1.0,0.0,1.0,0.0,0.0,1.0,1
0.35102695,-1.3604984,0.25166762,-0.051389974,1.0,0.0,1.0,0.0,0.0,1.0,1
0.32746866,-1.3596811,0.22571285,-0.046937946,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5306284,-1.0564967,0.47586617,-0.10351028,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3277054,-1.0316933,0.21720615,0.13341652,1.0,0.0,0.0,1.0,0.0,1.0,1
0.44137925,-1.3615787,0.34010637,-0.0569914,1.0,0.0,1.0,0.0,0.0,1.0,1
0.90233207,-2.4898622,2.236479,-1.5498885,1.0,0.0,0.0,1.0,1.0,0.0,1
0.6147273,-1.0753924,0.41695574,-0.005607472,0.0,1.0,1.0,0.0,0.0,1.0,1
0.32974198,-1.3550136,0.13418019,0.044470936,1.0,0.0,1.0,0.0,0.0,1.0,1
2.2515528,-3.0385132,2.7987738,-1.2700834,1.0,0.0,1.0,0.0,1.0,0.0,1
0.36565697,-1.358018,0.11504295,0.096385874,1.0,0.0,1.0,0.0,0.0,1.0,1
0.60253024,-1.0792823,-0.045298744,0.54345113,0.0,1.0,1.0,0.0,0.0,1.0,1
0.47726285,-1.0589613,0.37030438,-0.05412813,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6118534,-1.3576972,-0.013490474,0.6624594,1.0,0.0,1.0,0.0,0.0,1.0,1
-2.8058832,-3.2862904,-1.1552062,-1.4554012,1.0,0.0,0.0,1.0,0.0,1.0,1
0.23318747,-1.3524144,-0.054075394,0.14856015,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6225301,-0.12217227,0.74160874,-0.13723715,1.0,0.0,0.0,1.0,0.0,1.0,1
0.6395663,-1.3575232,0.0029441044,0.67828643,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2522161,-1.3540211,-0.01288746,0.12466155,1.0,0.0,1.0,0.0,0.0,1.0,1
0.31367657,-1.3543851,0.082313314,0.0814062,1.0,0.0,1.0,0.0,0.0,1.0,1
0.26644215,-1.3539017,-0.016285026,0.14034772,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5004343,-1.0618507,0.41640037,-0.07595856,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5559138,0.20654851,0.4210376,0.11623791,1.0,0.0,0.0,1.0,0.0,1.0,1
0.3455226,-1.3549798,0.19783077,-0.003645862,1.0,0.0,1.0,0.0,0.0,1.0,1
0.70126206,-1.3577436,0.03264662,0.72877383,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3469141,-1.3526046,0.1503222,0.044015914,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5821037,-1.666341,-0.02562943,0.5414727,0.0,1.0,1.0,0.0,0.0,1.0,1
0.5602406,-1.6496296,-0.0675892,0.69334286,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6630894,-0.745287,0.5816632,-0.09360546,1.0,0.0,1.0,0.0,0.0,1.0,1
2.118051,-2.4933922,2.9465895,-1.543751,1.0,0.0,1.0,0.0,1.0,0.0,1
0.8155544,-0.43001625,0.7123023,-0.09078189,1.0,0.0,1.0,0.0,0.0,1.0,1
0.20622447,-2.3503468,0.41057533,-0.09436402,1.0,0.0,0.0,1.0,0.0,1.0,1
0.36729503,-1.3614525,0.2718597,-0.056609295,1.0,0.0,1.0,0.0,0.0,1.0,1
0.28445816,-1.3558325,0.16910277,-0.029617308,1.0,0.0,1.0,0.0,0.0,1.0,1
0.37623328,-1.3627828,0.29477063,-0.07048039,1.0,0.0,1.0,0.0,0.0,1.0,1
0.35078132,4.0087714,0.15450798,-0.24723057,1.0,0.0,1.0,0.0,0.0,1.0,1
0.47065464,-1.060663,0.35500312,-0.045646325,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2886915,3.0072672,-0.06372636,-0.07117688,1.0,0.0,1.0,0.0,0.0,1.0,1
1.9565074,-2.7659874,3.0018508,-1.5293916,1.0,0.0,0.0,1.0,1.0,0.0,1
0.28409654,3.7041905,0.0887658,-0.117869556,0.0,1.0,1.0,0.0,0.0,1.0,1
0.62123924,-1.6488168,-0.114613965,0.8207964,1.0,0.0,1.0,0.0,0.0,1.0,1
0.615378,0.49965152,0.27326107,0.13912226,1.0,0.0,1.0,0.0,0.0,1.0,1
0.34557524,-1.3471563,0.4510183,-0.075448915,1.0,0.0,0.0,1.0,0.0,1.0,1
2.350287,-3.0418096,3.0274284,-1.4245708,1.0,0.0,1.0,0.0,1.0,0.0,1
0.4564421,-1.362725,0.37934545,-0.08065676,1.0,0.0,1.0,0.0,0.0,1.0,1
0.39496535,-1.3612158,0.29411298,-0.05364308,1.0,0.0,1.0,0.0,0.0,1.0,1
0.36009938,-1.3568003,0.24221404,-0.03411883,1.0,0.0,1.0,0.0,0.0,1.0,1
0.3802646,-2.3485303,0.30937025,0.010355552,1.0,0.0,1.0,0.0,0.0,1.0,1
0.59101135,-0.75233245,0.5130805,-0.09136794,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4544714,3.4124653,0.30972308,-0.13964804,0.0,1.0,1.0,0.0,0.0,1.0,1
0.28425506,-1.3519818,0.054524593,0.08390219,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5854403,-1.6489687,-0.11103226,0.77229494,1.0,0.0,1.0,0.0,0.0,1.0,1
0.43139547,-1.3619474,0.3285109,-0.054262314,1.0,0.0,1.0,0.0,0.0,1.0,1
0.56948084,-1.0793241,-0.07397193,0.54496735,0.0,1.0,1.0,0.0,0.0,1.0,1
0.42850143,-1.3526325,0.2665419,0.001965601,1.0,0.0,1.0,0.0,0.0,1.0,1
0.44382578,-1.0598277,-0.133622,0.586663,1.0,0.0,1.0,0.0,0.0,1.0,1
0.61605275,-1.6492728,-0.10810581,0.80630547,1.0,0.0,1.0,0.0,0.0,1.0,1
0.63431346,-1.6497567,-0.06487895,0.77520305,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7067025,-1.6664977,0.0027851611,0.6659946,0.0,1.0,1.0,0.0,0.0,1.0,1
0.5746865,-1.3748736,-0.0658458,0.56392187,0.0,1.0,1.0,0.0,0.0,1.0,1
0.45544922,-1.054912,0.3107516,-0.019155817,1.0,0.0,1.0,0.0,0.0,1.0,1
1.495437,-2.49683,2.3807628,-1.1829358,0.0,1.0,0.0,1.0,1.0,0.0,1
0.46125498,0.51643807,-0.14239368,0.58046186,1.0,0.0,1.0,0.0,0.0,1.0,1
0.71105963,-2.3739028,0.06493817,0.70955676,0.0,1.0,1.0,0.0,0.0,1.0,1
0.44044378,-1.3571204,0.30053005,-0.020440519,1.0,0.0,1.0,0.0,0.0,1.0,1
