RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,prediction
0.68210804,2.6260262,-1.5375912,2.4119978,-2.1593797,-2.0128875,2.0452504,-2.1996,-1.3280221,2.9133914,1
5.3013053,6.8290615,-6.0979652,6.5830927,6.6599154,6.9659605,6.6870894,6.644437,-5.538485,6.865857,1
2.2876508,-3.6463737,-2.953024,4.104598,4.289224,-3.7863271,3.6636415,-3.9165154,-2.7087443,-4.007138,1
1.8722789,-3.0658092,-2.5969825,-3.3481865,3.4098868,-2.8940778,3.2115853,3.2957997,-2.4165015,-2.1806934,1
5.097515,-5.97788,-5.976325,6.5900707,6.664839,7.0596485,6.4430394,6.6148677,-5.6095634,-6.542951,1
4.1963115,-5.6115017,-5.18515,5.8946023,6.106761,6.053261,5.737943,-5.8773255,-4.786871,-5.298713,1
4.567028,-5.8267636,-4.912992,6.452147,6.5149517,6.889626,5.6537333,-5.6270223,-4.9710236,-6.066613,1
2.9757347,-3.9515631,-3.3266835,4.0767417,-4.0754876,4.267262,3.7584586,-3.6998236,-3.1381655,4.3778253,1
1.9249386,4.9088287,-4.057348,4.544316,4.817545,-3.899975,5.0113635,5.6883936,-2.3384585,-4.5362296,1
1.966052,4.1130123,-2.5429857,3.2875967,3.3973067,-2.7821288,3.5090375,3.2662625,-1.5731562,-3.2013285,1
3.241103,5.263158,-4.083259,5.2118793,5.3265224,5.5924706,4.962141,-5.178263,-3.7921515,-4.5617228,1
2.947851,5.0281587,-3.3759773,4.5978518,4.7570457,-3.9210732,4.463518,4.87047,-2.7897453,4.8919206,1
4.3492765,-5.5592313,-4.921097,5.891264,6.032729,6.219455,5.7194867,-5.8719635,-4.948377,-5.2953553,1
-0.028466552,4.4307547,-3.2786996,-4.440926,4.462574,-4.155509,4.356931,4.333398,-1.6843362,-3.7911732,1
2.5159636,-3.8280559,-3.2724085,4.344226,4.5314407,-3.8847687,4.1535487,4.953661,-2.8097134,-3.998834,1
2.0205166,-3.4485302,-3.2683988,3.7972882,4.07439,-3.6243742,3.7887092,3.9202454,-2.2932804,-3.4769528,1
4.2592897,-5.5425177,-5.161998,5.8929,6.054596,6.1413503,5.7650967,-5.8778467,-4.8118825,-5.5484405,1
4.0381875,6.0912976,-4.7880917,5.610478,5.682964,6.002226,5.9391966,6.1925945,-4.547366,-5.552112,1
1.5399301,-4.798298,-4.313608,5.156081,5.3831043,-4.8586755,4.9118214,-5.1921663,-3.6970258,-4.796672,1
