RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,prediction
-0.101121664,0.4952953,0.5909159,0.23093495,-0.012820134,0.62004066,0.12356259,0.50384897,-0.07565638,0.7490351,1
-0.001761777,0.5510072,-0.16508958,0.2265461,0.31035727,0.52166873,0.13121691,-0.26625776,0.09851826,0.012913505,1
-0.036485974,0.6794199,0.33020857,0.22891419,0.28527874,0.52086633,0.03317655,-0.021022733,0.09016663,-0.23235644,1
0.00571967,0.455421,0.042048674,0.21020472,0.28536734,0.55906683,0.06626659,-0.26357618,-0.007830331,0.7554691,1
-0.04503724,0.40271142,0.01795078,0.2362566,-0.24608785,0.6648228,0.09313012,0.24162453,0.078696296,-0.23451655,1
-0.041182585,0.034715198,-0.07668543,0.22427163,-0.1712585,0.36205107,0.17147386,-0.2522016,-0.051949993,0.7591597,1
-0.16710855,0.29691684,0.79826677,0.24257049,0.27090392,0.7018534,0.09186926,0.49434587,0.43654612,0.011734706,1
-0.44255766,0.9914062,0.9561148,0.84517646,0.947547,0.908319,1.075857,-0.57597435,0.86732674,-0.5755795,1
-1.3522812,4.743534,-4.317675,4.3397803,-4.1757426,4.957488,4.680546,-3.3677812,4.474183,4.360219,1
-0.02376971,0.66440773,-0.082656085,-0.27360365,0.27815422,0.6139803,0.19025622,-0.25724918,-0.03194169,0.24893993,1
-0.08771285,0.4294682,0.21530667,0.2285721,0.3285609,0.15824749,0.16678718,0.25995547,0.079019085,0.75735044,1
-0.08967191,0.7620385,0.4238434,0.25652787,0.2646869,0.4100157,0.10312077,-0.02844369,0.07747146,0.5020732,1
-0.023436481,0.06790191,0.22070432,0.21785517,0.2955268,0.036163226,0.1278342,0.23464124,-0.12277396,0.26758778,1
-0.013023013,0.4361445,0.036769502,0.21158072,0.27383396,0.4003153,0.13842085,0.24413724,-0.018730158,0.2620536,1
-0.05470079,0.8072429,0.42010525,0.22114551,0.29385084,0.07248393,0.11857491,0.24454145,-0.013116238,0.015829092,1
-0.032599967,0.6559174,-0.17244984,0.23065187,0.39646104,-0.17308772,0.30001047,0.24643601,-0.023844391,0.014732278,1
-0.022882618,0.10072027,-0.08247554,0.21911262,0.31722468,0.45427585,0.29128277,0.2594655,-0.15929286,0.020070583,1
-0.021718286,0.768151,0.117409416,0.21993336,0.25164494,0.55670935,0.2307372,0.26242277,-0.13317029,0.2454682,1
-0.1493889,0.065945856,0.4725736,0.25241095,-0.10989967,0.494715,-0.03384879,0.25633645,0.55167574,0.0060547777,1
-0.75398684,-2.4345896,2.96439,2.7496464,-2.7091575,2.8961482,3.1550639,-2.4559577,-2.6232548,3.2162113,1
-0.06660163,0.38609067,0.14053246,0.07039756,0.123078205,0.2839395,0.15180759,-0.0815155,0.07065478,-0.073517345,1
-0.0050376635,0.6531783,-0.04564645,0.2195246,0.33300382,-0.12593366,0.2553586,0.48851904,-0.09493571,0.7463317,1
-0.059289303,0.46468347,0.42361906,0.23510523,0.2797834,0.5661857,0.10185185,-0.018865544,-0.04263402,0.019436797,1
-0.031180177,0.42642143,0.124555156,0.23731676,0.35998666,0.44214162,0.10331649,-0.27094713,-0.035064403,0.50451046,1
-0.072373,0.14761849,-0.0589483,0.06761559,0.17140763,0.04440254,0.15564585,0.082526095,0.19798262,0.33686146,1
0.07768096,0.8229319,0.0625079,-0.5985155,0.4949028,0.7398815,0.04595245,0.24306192,-0.09576974,0.51289314,1
-0.022017952,0.55760485,-0.07787694,0.22128151,0.33601883,0.37005857,0.3056509,0.25541902,-0.13951154,0.015609601,1
-0.08234504,0.26459152,0.38870314,0.2407581,0.5832564,0.039384175,0.24929826,0.24894157,-0.19096637,0.25781775,1
-0.04622944,0.46709728,-0.1058818,0.23011771,0.37899947,0.50022703,0.20074922,0.5195795,0.089477494,-0.24944262,1
-0.04018889,0.5709156,0.14184494,0.2077777,0.25274053,0.55363643,-0.02386496,0.23475511,0.34999627,0.50809246,1
0.40575936,-0.9494501,-0.6710895,-1.2366586,1.1884761,1.2335377,0.20146947,1.1800805,-0.41628203,1.6649284,1
-0.038050827,0.57778805,-0.09267558,0.22064151,0.25315863,0.45272705,0.19329363,0.26763344,0.101140685,-0.24897583,1
0.33677247,-0.9320692,-0.80395544,1.1398222,1.2091099,-0.92690563,0.97555226,1.703185,-0.7363174,-0.8794125,1
-0.07131939,0.52070814,-0.065873474,0.069509394,-0.058294553,0.20083763,0.34385297,0.08105721,-0.05823731,-0.07094918,1
-0.0016333619,0.49977756,0.11475267,0.22245513,0.42927086,0.50633794,0.16438223,0.76101846,-0.12067903,0.7449165,1
-0.004736712,0.75731826,-0.27358603,0.4802358,0.5510053,0.88588613,0.1805654,0.5744706,0.20506456,-0.28860092,1
0.014563786,0.047783308,0.23065646,0.21642727,0.22177754,0.83491135,0.06522584,0.0098880865,-0.13193056,0.26158592,1
-0.049695216,0.34737703,0.1432236,0.06813727,0.18051215,0.08573159,0.06887672,0.07735305,0.078628875,0.42392966,1
-0.21680972,0.12321513,0.09990543,0.00017985213,0.08042504,0.12495834,0.9997395,2.176836e-05,0.00030564118,6.097914e-05,1
-0.023238232,0.52074236,-0.16300173,0.22203536,-0.18920727,-0.08327962,0.21112873,0.24915683,-0.0053246506,0.2631347,1
-0.055198353,0.4381072,0.03579658,0.06964318,0.042471144,0.0037282347,0.2531613,0.17242494,-0.05348162,-0.07423639,1
0.060390946,0.6582984,0.12471664,0.21446495,0.40173352,0.600456,0.094292186,0.77202976,-0.09134492,-0.2361056,1
0.115152076,-0.220604,-0.025764091,0.45253417,-0.5215713,0.105375305,-0.03266188,0.52384895,-0.08426941,0.7687319,1
1.0694683,2.4717085,-2.0036526,-2.508282,-2.4094586,2.811657,1.3616811,2.4667096,-1.3713857,-2.4043858,1
