RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,prediction
-0.038471445,0.29969114,0.27953658,0.03911595,0.27074385,0.3421917,0.26011127,0.21230322,0.08592614,0.50458056,1
-0.018911429,0.2971846,-0.020008713,0.020211333,0.09779077,0.2727563,0.18000595,-0.019976437,0.23023081,0.23036556,1
-0.028515657,0.46822515,0.4700715,0.03035742,0.1002809,0.26409793,0.07006554,0.22057366,0.22001655,-0.029945135,1
-0.008699549,0.24287672,0.19,0.010363774,0.08135678,0.32333335,0.09,-0.009999998,0.115,0.99,1
-0.01935301,0.6766628,0.18043187,0.017939562,0.08031416,0.39678052,0.18002744,-0.010986817,0.23002777,-0.018393531,1
-0.028713934,0.31761503,0.07079451,0.030091695,0.1556022,0.09554484,0.26997733,-0.029864423,0.095022626,0.4744669,1
-0.10799133,0.65649503,0.8900147,0.110332556,0.17002921,0.36086833,0.08987142,0.64576966,0.514777,0.1449416,1
-0.008702983,0.17438357,0.09,0.010198387,0.11886432,0.07333334,0.19,0.24,-0.01,0.24000001,1
-0.029728405,0.42699704,-0.029754635,0.030055478,0.21868527,0.59534156,0.2702355,0.97025055,-0.029761188,-0.02972069,1
-0.009559657,0.94150686,0.09,0.0104229245,0.06025126,0.365,0.29000002,0.009999999,0.115,0.0099999765,1
-0.058856323,0.2514614,0.34179056,0.05885466,0.14853884,0.35837245,0.24004668,-0.057282455,0.19010098,0.44800353,1
-0.049637098,0.56899536,0.5513777,0.054022297,0.09018508,0.62735546,0.14998446,0.20553592,0.20054674,0.21791644,1
-0.018773327,0.34869966,0.38004676,0.020306276,0.09483711,0.31106082,0.18003124,-0.019927183,-0.01996725,0.4801197,1
-0.019064177,0.22543904,0.18072273,0.02011748,0.07468383,0.14686099,0.17999265,-0.01993768,0.10503819,0.48127323,1
-0.03845415,0.6150613,0.56029356,0.040169887,0.11613862,0.29400313,0.16022398,0.46027893,0.085229754,0.21178074,1
-0.028518077,0.45420966,-0.02943863,0.030160706,0.16510351,0.054670867,0.37002975,-0.029768998,0.09567682,0.22454768,1
-0.028683282,0.38607934,0.07004735,0.03019749,0.105303235,0.17844182,0.37004122,-0.02993435,-0.029940527,0.22055057,1
-0.028599516,0.57794625,0.27393562,0.030565085,0.06617976,0.26193604,0.26999858,0.47076732,-0.029724864,0.029989686,1
-0.028638497,0.3449814,0.17018308,0.030023511,0.19174889,0.22027166,0.17001009,-0.029924009,0.2201841,0.22075444,1
-0.03867332,0.3002033,0.16031753,0.040520873,0.09682975,0.17211798,0.26000297,0.21184707,0.08510202,0.47418752,1
-0.009024065,0.47575343,0.19,0.010235101,0.065859295,0.19833332,0.19,-0.009999999,0.115,-0.009999999,1
-0.008702983,0.44835615,0.09,0.010168239,0.10949749,0.13499999,0.29000002,0.24000001,-0.009999999,0.51,1
-0.03903235,0.2587737,0.5600076,0.041037828,0.10128939,0.29754654,0.1599929,0.21079588,0.08515768,0.2171123,1
-0.018693145,0.21169634,0.28001383,0.02023298,0.1405803,0.18861629,0.1799938,-0.019932617,0.10514715,0.23087585,1
-0.009291534,0.058493152,-0.010000001,0.010054805,0.11331658,0.115,0.19,-0.01,0.24,0.24,1
-0.028682292,0.39986542,0.4224705,0.030947804,0.08020513,0.17865267,0.069952846,0.720596,0.09519941,0.030006086,1
-0.028708471,0.35766187,0.07083017,0.030676808,0.122479714,0.0951487,0.36998957,-0.029850665,-0.029957741,0.22347456,1
-0.03857479,0.5602437,0.5601323,0.03994021,0.32781243,0.25715333,0.3599585,0.46231657,-0.040026538,-0.021062344,1
-0.02895662,0.2030043,0.070115864,0.030161947,0.18060313,0.22018503,0.27010593,0.22011887,0.22013816,-0.029887512,1
-0.038707636,0.3627617,0.26011148,0.040402368,0.09015522,0.29453012,-0.039947286,-0.039783172,0.46019748,0.71075714,1
-0.008702983,0.27027395,-0.009999999,0.010018605,0.074020095,0.03166667,0.29000002,-0.01,-0.01,0.49,1
-0.01867479,0.322507,0.08003601,0.020484617,0.060149413,0.18840055,0.28003162,-0.019962657,0.23004596,-0.019965488,1
-0.019625152,0.28022513,0.080056906,0.02050713,0.08025684,0.18838118,0.28004274,0.48004723,-0.019956786,0.26994067,1
-0.0064189928,0.61273974,-0.009999999,0.010362026,0.043788943,0.115,0.39000002,-0.01,-0.010000001,-0.01,1
-0.01,0.29767123,0.29000002,0.0102826,0.21317588,0.26,0.19,0.51,-0.01,0.51,1
-0.048569687,0.22499518,0.049933396,0.050209284,0.13066734,0.32644576,0.25002792,-0.04956217,0.45004034,0.20025463,1
-0.008836376,0.32506847,0.39000002,0.013098942,0.028090453,0.5733333,0.09,0.24,-0.01,0.51,1
-0.009179923,0.2839726,0.19,0.010026546,0.12306532,0.15666674,0.09,-0.009999998,0.115,0.49,1
-0.058304206,0.06402203,0.040132627,0.060193095,0.08729673,0.06693369,0.9400428,-0.060064312,-0.055564042,-0.05974216,1
-0.019294282,0.30762616,-0.019957751,0.020086527,0.12707625,0.14674187,0.28003463,-0.01995715,0.10503584,0.48017022,1
-0.008702983,0.5305479,0.09,0.0101248855,0.14429146,0.07333334,0.29000002,0.24,-0.010000001,-0.009999999,1
-0.009820726,0.44835615,0.29000002,0.0102778105,0.18415076,0.8233333,0.09,0.99,-0.009999999,0.009999992,1
-0.008622288,0.3387671,0.29000002,0.011562889,0.11050251,0.5733333,-0.01,0.99,0.115,0.26,1
-0.019655712,0.07593305,-0.019960657,0.020111801,0.037271626,0.39268374,0.48003706,-0.019961637,-0.019958183,-0.019966658,1
-0.008599634,0.09958904,0.09,0.010285077,0.050201003,0.19833332,0.29000002,-0.01,-0.009999999,-0.010000001,1
-0.03851226,0.4371643,0.26103857,0.040369764,0.17051405,0.47396025,0.26002747,0.21211325,0.085163966,0.46337825,1
-0.008793944,0.35246575,0.29000002,0.01044718,0.15237187,0.51,0.09,0.49,0.115,0.26,1
-0.02856642,0.4133284,-0.02852742,0.029477281,0.26018274,0.053326525,0.27001098,0.22025433,0.22023423,0.22562091,1
-0.018705104,0.19804989,-0.019987326,0.019984834,0.056094207,-0.020013552,0.2799906,-0.019945772,-0.02000755,0.48024952,1
-0.038842574,0.38241225,0.26336673,0.040698417,0.11813927,0.46369225,-0.04001369,0.7107026,0.45994642,0.7897801,1
-0.058817502,0.30635092,-0.060270067,0.060105745,0.14031722,0.19368441,0.5398516,-0.05899048,0.06513073,0.44353715,1
-0.018927958,0.225435,0.08026112,0.02017102,0.15669024,0.39709353,0.07998749,-0.019942148,0.35501298,0.73184025,1
-0.038391214,0.29982772,0.2603794,0.040477216,0.11187299,0.37686187,0.060357105,0.9604882,0.0853322,0.28969797,1
-0.008714106,0.27027395,0.61,0.010686934,0.11452261,0.365,-0.009999999,0.49,0.115,0.009999999,1
-0.009957475,0.35246575,0.19,0.0103534525,0.09040201,0.5733333,0.09,0.49,0.115,0.26,1
-0.008702982,0.39356163,-0.009999999,0.009999999,0.06447236,-0.009999998,0.29000002,-0.01,-0.01,0.49,1
-0.05847904,0.16290134,-0.05951623,0.06017246,0.12609594,0.15650746,0.23981532,0.19118817,0.31653932,0.4407827,1
-0.079755194,0.37960118,0.21970068,0.080358855,0.19612138,0.17455287,0.52009624,-0.009009583,0.17269489,-0.0799014,1
-0.018933117,0.2951685,0.080062464,0.020409808,0.1204428,0.39673764,0.1800562,0.23005931,0.10506062,-0.019925002,1
-0.03866532,0.4750975,0.26184452,0.041150473,0.09891258,0.17020796,0.160011,0.21014123,0.3357364,-0.038871076,1
-0.06894902,0.05762884,-0.06607965,0.0699935,0.18852228,0.5171988,0.6318132,0.43187198,0.06275354,-0.06843406,1
-0.03871016,0.12692228,0.06157524,0.04019966,0.052848242,0.3379615,0.4602253,0.21016242,-0.039941102,-0.03873365,1
-0.028642949,0.42726928,0.17002422,0.030033065,0.17534655,0.09573914,0.27005136,0.22007276,0.09505751,0.22011676,1
-0.05809591,0.5235555,0.21514073,0.060921684,0.1519834,0.44617483,0.24046145,0.6923336,0.19105767,0.02956176,1
-0.009192879,0.54424655,0.19,0.010486256,0.17816082,0.5316667,0.19,0.24,0.115,0.009999999,1
-0.008702984,0.4209589,0.09,0.010085135,0.074321605,0.24,0.19,-0.010000001,0.115,-0.009999999,1
-0.028924946,0.7806002,0.27000424,0.029875906,0.15310392,0.55651027,0.27012816,0.029208986,0.09508072,0.026685335,1
-0.008740032,0.32506847,0.71,0.0106137525,0.18487437,0.6566667,-0.009999999,0.24,0.24,0.009999996,1
-0.008733068,0.379863,0.09,0.010178313,0.044170856,0.07333334,0.29000002,-0.009999999,-0.009999999,-0.01,1
-0.019396175,0.40321553,-0.019999735,0.020172935,0.0980087,0.3969462,0.2799966,0.4801762,-0.01998327,-0.020011129,1
-0.008702982,0.03109589,-0.01,0.010053002,0.046180908,-0.009999999,0.29000002,-0.009999999,-0.01,0.24,1
