age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,prediction
4.8524494,4.6395354,5.3952007,-1.9767221,4.6817217,5.0193605,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
5.0541024,4.6633234,5.4293103,-2.0626225,4.652933,4.77222,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
4.582143,4.731732,4.4431105,-1.7487075,4.6773057,4.7896943,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
5.1272774,4.752404,4.75771,-1.9568952,4.6701455,5.021593,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
4.78217,4.825136,5.428322,-2.1670964,4.632562,5.0211506,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
4.9704356,4.6878104,4.0353537,-1.7044986,4.7284946,4.394796,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
5.0776763,4.75339,5.153123,-2.0373168,4.6691055,5.094868,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
4.8905983,-4.3937197,5.2689476,-0.49470058,4.6458087,-3.7503426,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
4.801289,4.6833553,5.444412,-2.113009,4.6401,5.031848,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
4.209276,4.6907682,4.563491,-1.8178707,4.6077023,4.592929,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
4.3737154,4.737857,4.889169,-1.8613067,4.6403494,4.9665556,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
-4.2074766,4.6880207,5.2842326,-0.67357516,4.6673584,5.058462,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
4.9838915,4.7457256,4.2318306,-1.8586828,4.7024426,5.0568604,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
4.2455297,4.709421,4.4321833,-1.7118751,4.750056,4.7081156,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
4.232477,-4.4965587,4.567068,-1.4358405,4.7063217,4.8127847,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
4.917524,4.6202645,4.7149982,-1.9328609,4.6740546,5.1182923,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
