age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,prediction
0.30161804,0.044158064,0.80019337,0.066060856,-6.326023e-06,0.39804935,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.45220196,0.04810342,0.8000365,0.029733118,0.00012911219,0.122187294,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.28790626,0.13762853,0.53348124,0.1213276,4.0296512e-05,0.3980074,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.49336126,0.15063234,0.40005222,0.07152979,-0.00022558315,0.3977649,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.15044472,0.22055912,0.80029434,0.022078834,-0.00011662295,0.39795506,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
0.43844524,0.10002848,0.28606638,0.21732876,2.019466e-05,0.15299308,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
0.47951493,0.13375461,0.533396,0.034634754,0.00036441121,0.44883698,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.27396435,0.18138926,0.60035574,0.0046172584,0.00012006196,0.8060197,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.17830746,0.08726082,0.8002188,0.020667134,-1.3472018e-06,0.39835453,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
0.082598,0.074251674,0.7999679,0.12043537,0.00015270834,0.29575542,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
