age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,race_African-American,race_Other,sex_Female,sex_Male,prediction
0.32795605,0.9995758,0.4103663,-0.116343856,1.0,0.0,1.0,0.0,0.0,1.0,1
0.26850134,3.7911785e-05,0.2791278,0.033658694,1.0,0.0,1.0,0.0,0.0,1.0,1
0.21656144,0.99962467,0.283991,-0.10914991,1.0,0.0,1.0,0.0,0.0,1.0,1
0.19224118,0.99998766,0.2570357,-0.10378758,1.0,0.0,1.0,0.0,0.0,1.0,1
0.38635078,0.9997374,0.5166897,-0.17248121,1.0,0.0,1.0,0.0,0.0,1.0,1
0.38276625,0.5041055,0.09702464,1.0290233,1.0,0.0,0.0,1.0,0.0,1.0,1
0.2971099,0.99976695,0.3821631,-0.122180894,1.0,0.0,1.0,0.0,0.0,1.0,1
0.2581487,1.0000535,-0.03278739,0.6633779,1.0,0.0,0.0,1.0,1.0,0.0,1
0.4442143,1.00014,0.53040075,-0.07316496,0.0,1.0,1.0,0.0,0.0,1.0,1
0.18083905,1.0000206,0.14768124,0.0103108445,1.0,0.0,1.0,0.0,0.0,1.0,1
0.39565384,0.9999909,0.41132975,-0.17388172,1.0,0.0,1.0,0.0,1.0,0.0,1
0.2466699,0.99978715,0.13670038,0.1049309,1.0,0.0,1.0,0.0,0.0,1.0,1
0.20637758,0.99988,0.23779763,-0.053675897,0.0,1.0,1.0,0.0,0.0,1.0,1
0.34011194,1.0003275,0.42089576,-0.11683324,1.0,0.0,1.0,0.0,0.0,1.0,1
0.20684141,1.0000585,0.2301032,-0.053429555,1.0,0.0,1.0,0.0,0.0,1.0,1
0.13232927,0.99983543,0.18221046,-0.044349253,1.0,0.0,0.0,1.0,0.0,1.0,1
0.09468898,0.99997866,-0.0755945,0.18838738,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5548915,1.0001413,0.8511476,-0.059793424,1.0,0.0,0.0,1.0,0.0,1.0,1
0.23339745,1.0001264,0.2555144,-0.054965083,1.0,0.0,1.0,0.0,0.0,1.0,1
0.13483638,1.0002203,-0.0052136234,0.14993209,1.0,0.0,1.0,0.0,0.0,1.0,1
0.16786326,0.9998824,0.09053266,0.06471989,1.0,0.0,1.0,0.0,0.0,1.0,1
0.15634473,1.0001047,-0.014362951,0.18919598,1.0,0.0,1.0,0.0,0.0,1.0,1
