age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,race_African-American,race_Other,sex_Female,sex_Male,prediction
0.516779,-1.356006,0.3497498,-0.06215407,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4487142,-2.3494127,0.23250368,0.0792314,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4854442,-1.9337488,0.23953857,-0.02076625,1.0,0.0,1.0,0.0,0.0,1.0,1
0.45842236,-1.9338396,0.2117882,-0.018269917,1.0,0.0,1.0,0.0,0.0,1.0,1
0.58003116,-1.3568902,0.4571489,-0.109015115,1.0,0.0,1.0,0.0,0.0,1.0,1
0.36818305,-1.6315014,0.19835198,0.08754077,1.0,0.0,0.0,1.0,0.0,1.0,1
0.53399754,-1.648316,0.33029732,-0.043105915,1.0,0.0,1.0,0.0,0.0,1.0,1
1.2478442,-2.7565963,2.6360118,-1.8306278,1.0,0.0,0.0,1.0,1.0,0.0,1
0.6062955,3.9856534,0.36252406,-0.17561163,0.0,1.0,1.0,0.0,0.0,1.0,1
0.491233,-1.9290018,0.13312127,0.084125675,1.0,0.0,1.0,0.0,0.0,1.0,1
2.323221,-3.0367193,2.8228908,-1.3360785,1.0,0.0,1.0,0.0,1.0,0.0,1
0.47510567,-1.9340417,0.10455817,0.10651553,1.0,0.0,1.0,0.0,0.0,1.0,1
0.72113585,-1.0825326,-0.1144955,0.74602044,0.0,1.0,1.0,0.0,0.0,1.0,1
0.5198192,-1.3544996,0.3636099,-0.0719799,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7322496,-1.3565724,-0.06243314,0.7754743,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5776584,-1.3475016,-0.2180875,1.04636,1.0,0.0,0.0,1.0,0.0,1.0,1
0.40096316,-1.930368,-0.031207046,0.18524611,1.0,0.0,1.0,0.0,0.0,1.0,1
0.67812926,-1.0485039,0.7331429,-0.11193946,1.0,0.0,0.0,1.0,0.0,1.0,1
0.75848067,-1.3573334,-0.036529604,0.78024876,1.0,0.0,1.0,0.0,0.0,1.0,1
0.37449,-1.9301933,-0.00783719,0.1410673,1.0,0.0,1.0,0.0,0.0,1.0,1
0.46826857,-1.9289443,0.09021416,0.11540465,1.0,0.0,1.0,0.0,0.0,1.0,1
0.38242006,-1.9312809,-0.012255407,0.15355195,1.0,0.0,1.0,0.0,0.0,1.0,1
0.57082826,-1.3553649,0.4022518,-0.065970466,1.0,0.0,1.0,0.0,0.0,1.0,1
0.57429415,-1.3399373,0.50335807,0.003885813,1.0,0.0,0.0,1.0,0.0,1.0,1
0.49901018,-1.9292146,0.18842535,0.03956397,1.0,0.0,1.0,0.0,0.0,1.0,1
0.81800985,-1.3559047,0.0021789141,0.8202745,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7103867,-1.9316461,-0.08772436,0.79782575,1.0,0.0,1.0,0.0,0.0,1.0,1
0.34909758,3.9908826,0.1070195,-0.17644666,0.0,1.0,1.0,0.0,0.0,1.0,1
0.6947446,-1.6463679,-0.14252745,0.8320595,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7413957,-1.0507091,0.5429901,-0.052190956,1.0,0.0,1.0,0.0,0.0,1.0,1
2.4355042,-2.4798918,3.147468,-1.6369462,1.0,0.0,1.0,0.0,1.0,0.0,1
0.8833607,-0.7465128,0.66674125,-0.0456733,1.0,0.0,1.0,0.0,0.0,1.0,1
0.37230676,-2.9129574,0.4073952,-0.0635067,1.0,0.0,0.0,1.0,0.0,1.0,1
0.49821916,-1.934148,0.25770807,-0.027056564,1.0,0.0,1.0,0.0,0.0,1.0,1
0.63506603,-2.213893,-0.070976086,0.712925,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4960038,-1.9356157,0.27793106,-0.047628224,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7425983,-2.2149136,-0.062447157,0.81279266,1.0,0.0,1.0,0.0,0.0,1.0,1
0.51400757,-1.3552377,0.35269937,-0.06656918,1.0,0.0,1.0,0.0,0.0,1.0,1
0.31283268,-2.3415813,-0.029785406,0.21389115,1.0,0.0,1.0,0.0,0.0,1.0,1
2.2496367,-2.7645745,3.236934,-1.667504,1.0,0.0,0.0,1.0,1.0,0.0,1
0.70819,-1.3782146,-0.19453804,0.8480571,0.0,1.0,1.0,0.0,0.0,1.0,1
0.56709415,-1.353782,0.021770697,0.48728672,1.0,0.0,1.0,0.0,0.0,1.0,1
0.669864,-0.7560589,0.3183062,0.11076367,1.0,0.0,1.0,0.0,0.0,1.0,1
0.45825794,-1.9268548,0.3875645,-0.023435758,1.0,0.0,0.0,1.0,0.0,1.0,1
2.5977051,-3.036225,3.171795,-1.510143,1.0,0.0,1.0,0.0,1.0,0.0,1
0.53072995,-1.6496105,0.36207163,-0.07529479,1.0,0.0,1.0,0.0,0.0,1.0,1
0.52941936,-1.9346325,0.28110966,-0.022427617,1.0,0.0,1.0,0.0,0.0,1.0,1
0.51973414,-1.9307438,0.22544427,0.16729482,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4368296,-2.348861,0.29281968,0.00790324,1.0,0.0,1.0,0.0,0.0,1.0,1
0.71690196,-1.3493642,0.49811223,-0.035772596,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6537864,-1.9436884,0.27064312,0.07520213,0.0,1.0,1.0,0.0,0.0,1.0,1
0.43012103,-1.928685,0.06359145,0.11433972,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7114555,-1.6459129,-0.1754966,0.88752514,1.0,0.0,1.0,0.0,0.0,1.0,1
0.51581985,-1.6486657,0.3167,-0.045055002,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6890724,-1.0816345,-0.14295161,0.74635106,0.0,1.0,1.0,0.0,0.0,1.0,1
0.7423353,-1.6477699,0.040253982,0.68136126,1.0,0.0,1.0,0.0,0.0,1.0,1
0.5437534,-1.0590433,-0.18518443,0.68535113,1.0,0.0,1.0,0.0,0.0,1.0,1
0.55885094,-1.3539044,0.032171186,0.46743613,1.0,0.0,1.0,0.0,0.0,1.0,1
0.7681487,-1.6488007,-0.1199717,0.8915557,1.0,0.0,1.0,0.0,0.0,1.0,1
0.6749694,-1.3751478,0.066865094,0.45923263,0.0,1.0,1.0,0.0,0.0,1.0,1
0.7051759,-1.3771508,-0.15967831,0.7842287,0.0,1.0,1.0,0.0,0.0,1.0,1
0.8167956,-1.6467751,0.069092125,0.7355311,1.0,0.0,1.0,0.0,0.0,1.0,1
1.9199833,-2.7664387,2.8348577,-1.4711783,0.0,1.0,0.0,1.0,1.0,0.0,1
0.47769663,-1.0684772,-0.021336623,0.2819992,1.0,0.0,1.0,0.0,0.0,1.0,1
