RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,prediction
-0.016013905,3.1053112,-2.0716524,2.9166112,-2.790969,-2.4747653,2.7730353,3.3586848,-1.2378299,3.468702,1
2.7049189,5.350341,-4.58532,5.05799,5.21484,5.4667068,5.272754,5.164053,-3.6790607,-4.838299,1
1.863358,4.206543,4.5917425,3.736152,3.8953462,4.1567345,-0.26362762,4.054553,-2.9973474,3.84321,1
1.2466367,3.4162095,-2.5519326,3.2782514,3.3892493,-2.8661034,3.3874302,3.2591503,-1.5761864,-2.2153327,1
2.1296632,5.4618063,-4.3646994,-4.9621882,4.9439745,5.32269,4.639326,4.89503,-3.8429236,-4.817068,1
0.26893887,-5.125246,-4.587913,5.3442297,-5.4201765,5.549114,5.130277,5.4273577,-3.9568758,-4.7873588,1
1.9048847,4.3119407,5.03856,3.8353093,3.8522992,4.330681,-0.6017325,4.609746,-2.6941204,4.0962715,1
-0.3045538,-5.2564397,-4.6486115,-5.4522324,5.443035,5.5029755,5.2379847,5.6602015,-4.2343044,5.628055,1
-0.07605519,5.721418,-4.715423,5.367807,5.5869904,-4.7296677,5.5171714,-4.4485984,-2.5914447,-5.325488,1
1.8424902,5.4741416,-4.0294757,4.594557,4.761526,-4.2140594,4.5520716,-4.69839,-3.3761399,4.6036887,1
1.2758831,-5.19217,-4.728413,5.4341135,5.509952,5.805908,4.826153,-5.397067,-4.6820455,5.8784204,1
1.5038722,3.9789433,-2.4746592,3.4686446,3.665187,-2.8819287,3.2780454,3.8036833,-1.9383253,3.8212283,1
1.8086922,-5.091119,-4.603056,5.32147,5.5086174,-5.0471005,5.316968,5.3648043,-4.1665773,5.8960605,1
2.8198926,5.7875257,-4.9911914,5.6136026,5.748363,5.7877936,5.5126486,-5.6714144,-4.627311,6.1454973,1
0.9146859,5.6819353,-3.9790473,5.1127133,5.296064,-4.7877016,4.7673016,-4.689372,-3.1519558,-4.815295,1
0.84397507,5.7845364,-4.7351027,5.3842897,5.607811,-5.2854705,5.312193,-5.457525,-3.2767763,-5.0808372,1
-0.30547902,-6.333731,-5.8138757,-6.6886272,6.674678,6.856051,6.3177567,6.6689467,-5.1080194,6.8500257,1
1.1706955,-3.056215,-2.7249458,3.563635,3.6803367,-3.2535508,3.3890276,-3.1164794,-2.4589841,-3.478939,1
-0.008672689,3.2557194,-2.2093768,-3.029829,3.2803617,-2.7491179,2.6085033,-3.0308836,-1.1408792,-2.7038894,1
3.3220143,-6.3963213,-6.1271534,6.5847626,6.709773,6.842078,6.4192953,6.882302,-5.722404,-6.056071,1
1.5029212,-5.9047318,-5.6694613,6.3711534,6.485867,-6.124052,6.119571,-6.4145684,-5.00997,6.376018,1
1.8396938,-5.005469,-4.885917,5.3429527,5.526762,-5.2097936,5.4466324,5.6161876,-4.1194816,5.889621,1
1.0655876,-3.0456867,4.110629,3.2531147,3.4630482,3.642003,-0.37429953,-3.071416,-2.5152347,-2.9461977,1
1.03351,3.150903,3.5618143,2.9579237,3.1874564,3.1545584,-0.28279114,-3.0910378,-2.1827192,-2.6947362,1
0.7250145,2.4314911,-1.947117,-2.4768746,2.5619185,-2.276917,2.079075,-2.4511008,-1.4540683,2.696107,1
2.249941,4.945155,5.308058,4.617169,4.69669,-4.4095287,-0.48340002,-3.9328623,-3.4050286,-4.543998,1
1.4523516,4.3779855,-3.4786065,4.0931826,4.275426,4.231197,4.141106,-4.139205,-2.8899145,-3.798415,1
1.253245,-3.3258953,-2.6584833,3.8364434,4.122655,-3.5071402,3.2677813,-3.3754106,-2.4859788,-3.7383997,1
1.2185462,-3.363961,3.9280028,-3.6408205,3.7691696,-3.2616348,-0.6904854,3.8155184,-2.786041,3.5991766,1
-0.07873311,-5.8374233,-5.254133,6.0471716,6.1420302,6.46051,5.908782,6.1455297,-4.2129626,6.887055,1
0.6243772,-1.8783814,-1.609796,-2.1705983,2.2303414,2.1534934,1.5875494,-2.112774,-1.3229606,-1.5493413,1
2.102733,-4.577991,-4.400438,4.8769684,4.987519,5.1206985,4.704705,-4.9157257,-3.9211245,-4.8269463,1
1.6883762,4.5614862,-3.7695177,4.3598266,4.477344,4.633351,4.65309,-3.8881242,-3.297986,-4.061226,1
-0.090316854,3.5082982,-2.2363875,-3.0808787,3.0811613,-2.8269117,3.1727874,2.995524,-1.0460953,-2.9295938,1
2.8834357,-6.3405895,-6.225788,6.5948915,6.8485274,6.846211,6.2638693,-6.089396,-6.284636,7.095669,1
1.0938734,3.49502,-2.7340043,3.2661862,3.4003315,-2.8949466,3.2474,3.3403957,-1.6781023,3.608021,1
3.3963573,-6.1046906,-5.6788964,6.348137,6.3801875,6.9816413,6.2370152,6.6384826,-5.7959957,-5.8175836,1
1.3896763,4.294468,-3.4238079,4.08776,4.2624483,4.261778,4.1398783,-4.1194816,-2.954376,-3.5493553,1
1.6143872,4.510942,-3.7813134,4.341732,4.501042,4.541726,4.3841476,-4.380369,-2.9993079,-4.225389,1
1.3212607,3.4746418,-2.8001363,3.23201,3.431094,-3.092742,3.393667,3.2692733,-1.9057163,3.7853782,1
1.2175508,-3.0898442,-3.0720296,3.518853,3.7536075,-3.3820238,3.7256005,3.8503475,-2.3345656,-3.4654334,1
0.86393595,-3.4021714,-3.0899389,3.8082652,4.0125647,-2.9557421,3.9085422,-2.8503203,-2.8062828,-3.7406366,1
2.500254,-4.31731,5.1516542,-4.7117767,4.7174044,5.195315,-1.1830837,-3.6275113,-3.9018884,4.8888297,1
1.1039315,-5.0202284,-4.370134,5.138831,5.256413,-4.738952,5.0650654,-5.1959434,-3.5243623,-4.9646473,1
0.14285633,1.8350313,-1.2178158,1.804869,1.8637714,-1.5542116,1.9642539,1.8126537,-0.8602191,-1.7786888,1
0.10947553,3.0389214,-1.7534695,2.7060242,-2.7437875,-2.1939056,2.3872452,-2.5189073,-1.4301997,3.1744246,1
-0.11620785,-3.8107166,-3.0476897,-4.152118,4.2902045,-3.523516,3.6250374,-3.5776484,-2.3280923,4.3513227,1
