RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,prediction
-0.1144636,0.26050264,0.29986045,0.00047499436,0.2756299,0.37484294,0.2991516,0.25001395,0.1249595,0.49985987,1
-0.08495848,0.31514993,3.8347334e-05,0.00023348402,0.07801512,0.29168501,0.19988833,8.761558e-05,0.24999863,0.25004816,1
-0.10737197,0.43816862,0.5000419,0.00024885207,0.070724554,0.29167098,0.082230724,0.25025725,0.2500481,-0.00022231243,1
-0.08082668,0.23278187,0.19995512,0.00017181612,0.07160154,0.33341536,0.09974508,-3.7752157e-05,0.1251731,0.9999974,1
-0.09901002,0.6577915,0.1999223,-6.3431944e-06,0.060505122,0.41644365,0.19974788,-0.000122077,0.25021544,-7.634725e-06,1
-0.10598271,0.28793183,0.10012727,-1.140908e-05,0.1254154,0.1250809,0.2994986,0.00039161963,0.12540238,0.49995008,1
-0.19008195,0.5480296,0.99997306,0.008671986,0.060384627,0.45815465,0.035974536,0.7499591,0.62516165,0.25001127,1
-0.0627828,0.16429104,0.09989594,-5.3031195e-05,0.10883549,0.08343959,0.20027523,0.2500224,0.00015341514,0.24996632,1
-0.0850864,0.39737728,-0.00029155012,0.0003762413,0.18913193,0.62498176,0.2766088,0.99993855,-9.9167475e-05,0.00018158663,1
-0.08758304,0.9314831,0.09998774,0.0007212888,0.05047006,0.3751454,0.30020958,-0.00015408997,0.12542234,-7.5785785e-05,1
-0.14191411,0.19198139,0.4001364,-0.00015195803,0.088610575,0.4165697,0.26952603,-8.806281e-05,0.25016332,0.4996908,1
-0.12764601,0.52058196,0.6001217,0.0046007503,0.040165186,0.666614,0.14400499,0.25016767,0.24910046,0.24992405,1
-0.10142167,0.32888922,0.399455,0.00023766997,0.07446126,0.29167512,0.19955121,0.0001751388,-5.44907e-06,0.50010854,1
-0.104163595,0.20572871,0.20012811,0.00012307178,0.054529913,0.16645294,0.19971429,0.000108986074,0.124748565,0.5001989,1
-0.11712069,0.5752927,0.6000392,0.0006056479,0.07645265,0.3332319,0.15315503,0.50000995,0.12510265,0.24979553,1
-0.105135895,0.4248019,7.083106e-05,0.0003013583,0.13531074,0.083096616,0.39976436,-1.1851007e-05,0.12528077,0.24971952,1
-0.09976386,0.35627776,0.09954643,0.00051321863,0.07542195,0.20817,0.40010157,2.0133382e-05,9.3197035e-05,0.25020602,1
-0.10230435,0.54797024,0.30012143,0.0008334216,0.036276665,0.2915177,0.29976705,0.50024414,-0.00028371354,0.0001267494,1
-0.10731255,0.3151792,0.20010705,0.0001387358,0.1619403,0.2500284,0.19980937,0.0002645114,0.24977508,0.2497969,1
-0.11828293,0.2606365,0.19957274,0.0005629543,0.056893963,0.20844992,0.29725873,0.24968205,0.1250105,0.49982405,1
-0.083640866,0.46584445,0.19997825,0.00021842096,0.055862505,0.20864762,0.19957839,0.00015142011,0.12486715,-0.000104017905,1
-0.08684267,0.43856895,0.099824704,-6.0956798e-05,0.09950141,0.12481868,0.2999431,0.25005287,0.00015372307,0.49987942,1
-0.12767616,0.2190542,0.59986377,0.001210816,0.06125612,0.33332855,0.18924308,0.24972375,0.124914475,0.24979274,1
-0.10400652,0.19147256,0.29985055,0.00035304937,0.12093642,0.20851102,0.19996291,-0.000269206,0.12458462,0.24968882,1
